prompt,tool_predicted,tool_ground_truth,agent_role,difficulty,category,run_id
Show the last entries of /var/log/syslog right now on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
This isn't about failed logins — show me the plain syslog,ReadSyslog,ReadSyslog,shared,hard,trick,20260829-162521
Give me the uname and load average lately on the server,ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
Give me the uname and load average over the past day on this box,ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
"Show the hostname, kernel and uptime on this host",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Display the tail of the syslog over the past day on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Tail the system log (syslog) right now on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me the recent general system log entries right now on this machine,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Read the recent syslog messages over the past day on this box,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Display the tail of the syslog in the last hour,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show basic system information just now on this box,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Give me an overview of this host over the past day,ReadSyslog,GetSystemInfo,shared,hard,ambiguous,20260829-162521
Read the recent syslog messages recently here,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
What OS and kernel is this machine running on this box?,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Display the tail of the syslog just now on this box,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
What OS and kernel is this machine running on the defender?,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Review the logs for anything unusual in the last hour,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
Show the last entries of /var/log/syslog on this box,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Give me an overview of this host today,GetSystemInfo,GetSystemInfo,shared,hard,ambiguous,20260829-162521
Read the recent syslog messages since boot here,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"I don't want the process list, just uptime and kernel",GetSystemInfo,GetSystemInfo,shared,hard,trick,20260829-162521
Show me what the system has been up to in the last hour,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
Give me the uname and load average just now on this host,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Anything weird in the logs this morning?,ReadSyslog,ReadSyslog,shared,hard,natural,20260829-162521
Show the last entries of /var/log/syslog over the past day,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Grab the system info before we dig into the logs,GetSystemInfo,GetSystemInfo,shared,hard,multistep,20260829-162521
Give me the uname and load average recently on this box,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Show basic system information on the server,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Tail the system log (syslog) on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show basic system information today on this machine,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
"Report the system info: hostname, OS, uptime on this host",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
"Show the hostname, kernel and uptime in the last hour here",ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
Show the last entries of /var/log/syslog here,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Read the recent syslog messages this morning on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me the recent general system log entries this morning on the defender,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Anything weird in the logs today?,ReadSyslog,ReadSyslog,shared,hard,natural,20260829-162521
Read the recent syslog messages since boot on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"Report the system info: hostname, OS, uptime on the server",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
"Skip the logs, I only want the uptime and kernel of this host",GetSystemInfo,GetSystemInfo,shared,hard,opposite,20260829-162521
Read the recent syslog messages in the last hour here,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Run uname -a and uptime on this box,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Show basic system information since boot here,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Tail the system log (syslog) recently here,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"Report the system info: hostname, OS, uptime on this machine",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Show basic system information on this host,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
"Forget the auth log, show me the general system log instead",ReadSyslog,ReadSyslog,shared,hard,opposite,20260829-162521
Give me the uname and load average in the last hour,ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
Anything weird in the logs recently?,ReadSyslog,ReadSyslog,shared,hard,natural,20260829-162521
Dump recent /var/log/syslog lines,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me the recent general system log entries recently on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me the recent general system log entries over the past day on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"Show the hostname, kernel and uptime since boot on the server",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Show basic system information since boot on this host,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Dump recent /var/log/syslog lines on this machine,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show basic system information in the last hour,ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
Display the tail of the syslog on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show basic system information lately on this host,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Show the last entries of /var/log/syslog this morning on this machine,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Give me an overview of this host lately,GetSystemInfo,GetSystemInfo,shared,hard,ambiguous,20260829-162521
Show the last entries of /var/log/syslog since boot on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Read the recent syslog messages on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show basic system information right now here,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Display the tail of the syslog over the past day here,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me what the system has been up to since boot,ReadSyslog,ReadSyslog,shared,hard,ambiguous,20260829-162521
Give me an overview of this host just now,GetSystemInfo,GetSystemInfo,shared,hard,ambiguous,20260829-162521
Read the recent syslog messages recently on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
What OS and kernel is this machine running?,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Give me the uname and load average right now on this machine,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Dump recent /var/log/syslog lines on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Show me the recent general system log entries just now on this host,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Give me an overview of this host this morning,ReadSyslog,GetSystemInfo,shared,hard,ambiguous,20260829-162521
Show me the recent general system log entries lately on this box,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"Show the hostname, kernel and uptime right now on this machine",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Run uname -a and uptime here,ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
Display the tail of the syslog in the last hour on the server,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
"Report the system info: hostname, OS, uptime on this box",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Give me the uname and load average since boot on this box,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
What OS and kernel is this machine running on this machine?,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
What OS and kernel is this machine running here?,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Run uname -a and uptime,ReadSyslog,GetSystemInfo,shared,easy,direct,20260829-162521
"Report the system info: hostname, OS, uptime here",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Give me the uname and load average today here,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
"Show the hostname, kernel and uptime today here",GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
Display the tail of the syslog recently on the defender,ReadSyslog,ReadSyslog,shared,easy,direct,20260829-162521
Run uname -a and uptime on this machine,GetSystemInfo,GetSystemInfo,shared,easy,direct,20260829-162521
